2021-12-16 00:12:110 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:955 INFO  HomePage :30 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (703ec24f639493b33b234e04952c4fea)] -> xpath: //a[normalize-space()='buy + sell']]
2021-12-16 00:12:695 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:674 INFO  HomePage :30 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (ebbcfcd2faf64386ac45ae2ab9380938)] -> xpath: //a[normalize-space()='buy + sell']]
2021-12-16 00:12:136 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:823 INFO  HomePage :30 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (1072abd42ef94eec0c29a71b73b005ac)] -> xpath: //a[normalize-space()='buy + sell']]
2021-12-16 00:12:160 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:840 INFO  HomePage :30 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (5b82f67ac87b6ff217e345a612743e6d)] -> xpath: //a[normalize-space()='buy + sell']]
2021-12-16 00:12:376 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:504 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c5bc1d637ab2617a916b05868e53279c)] -> xpath: //a[normalize-space()='buy + sell']]
2021-12-16 00:12:260 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:942 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (81e7a44cb88b53bb048ef47b9fffd796)] -> xpath: //a[normalize-space()='buy + sell']]
2021-12-16 00:12:745 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:57 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (4b3e1da34cd949fa1542ab533e083991)] -> xpath: //a[normalize-space()='buy + sell']]
2021-12-16 00:12:960 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:959 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (28c3f6639ac13067fe8ba26e7db74293)] -> xpath: //li[@class='uhf-menu-item uhf-dropdown-menu-toggle uhf-menu-buysell']]
2021-12-16 00:12:610 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:576 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (baa1ba20b194c6732450478658cc61d8)] -> xpath: //li[@class='uhf-menu-item uhf-dropdown-menu-toggle uhf-menu-buysell']]
2021-12-16 00:12:593 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:866 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (4723b2eb6fda7cc9aa1352af050dde7e)] -> xpath: //li[@class='uhf-menu-item uhf-dropdown-menu-toggle uhf-menu-buysell']]
2021-12-16 00:12:394 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:724 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (cd73c2dd3b8e746c3e40aed2567bf847)] -> xpath: //a[text()='buy + sell']]
2021-12-16 00:12:676 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:599 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (0a55db045ca4f1a9daa59d35a7b3e37d)] -> xpath: //a[text()='buy + sell']]
2021-12-16 00:12:193 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:373 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (e7f2f166db549fb611c721da006f7af1)] -> xpath: //a[text()='buy + sell']]
2021-12-16 00:12:244 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 00:12:999 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (7307ffa6e467d0253273c52e64e063fe)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:527 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:842 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (efa184a0f6b4ccf7280fa109f6cfb54f)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:877 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:882 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (423ecafce36285f7b8ebf1efe8828bf0)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:710 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:43 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (6eb09e5f7ff5e8bedca2c4f36869572c)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:642 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:886 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (19169a3b6a491aba45d556e3de19c32f)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:326 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:609 INFO  HomePage :37 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (92cabea2739bfca0a71502ec12ceadc7)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:744 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:297 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (e2169594fa5bc2cd0d2da1298cb71e48)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:210 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:789 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (95d6f89ed367186e8f667fa0a1059055)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:827 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:657 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (a6eeaef97cd2ef5184ee85e40aa11baa)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:710 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:966 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (e380c7f19afdf7cf19e3cb3956a34799)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:210 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:306 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (ea14bd9f7433e2c4c28aeedf8348147a)] -> xpath: //a[text()='buy + sell']]
2021-12-16 01:12:560 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 01:12:656 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (4de7f5bff64e72e2a7568e2af9e96d3f)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:827 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:936 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (6906a1e19ca9bbd2b3b24583c92f0f06)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:263 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:958 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (24ba3911d72aba6b3ace9a3fe4470189)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:173 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:792 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (04d6956ac2a52bff79ed53c935399923)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:355 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:859 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (ed017182282605b4b7b0b73d81c2b43a)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:315 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:653 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (40d7278b3e0fd467c4a941362c42f9f1)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:299 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:783 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (0effbc08cdaf2d4c7089c81a2f5e3e00)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:27 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:858 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c156b75dc540f69159339ec2378f166c)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:485 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:11 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (171bdb48133eeebca4aec4eca54117fe)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:388 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:759 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (b8305c2a22709b9e2906afc5f83f5987)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:443 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:204 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c934b44b62f76b1b5c1e70ae462e962b)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:175 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:710 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:606 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (6858e7996e435a4b8d9fb2c852cfef0c)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:464 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:975 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c5035615fd137ec43905f001b42af169)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:191 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:640 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (ebfd5c6cdce083151673c6f4cf3f1959)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:339 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:107 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (e97ae760b6741009f99e5915d1b7c1a9)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:488 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:174 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (6e5943f91f1a84488b080092e842094c)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:337 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:256 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (f852ec0e23e854bb5669986890b56dee)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:08 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:972 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (6e3ee2471929876af7e9da66d6ab65cd)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:880 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:292 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:82 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (5f49f5dd0351554414abcc0df56b32c3)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:773 INFO  ManageDriver :30 - Launching Chrome Browser
